0,1,2
49.79751724137931,0.0,0.6024827586206882
214.9,1.5,1.0999999999999943
1123.2,1.5,20.200000000000045
2468.1,67.3,43.29999999999991
3071.1,338.6,76.70000000000016
4865.8,1107.9,69.09999999999991
7285.0,2707.7,66.90000000000055
8119.6,5898.9,53.899999999999636
7604.2,10691.9,98.19999999999891
6115.1,16200.1,151.89999999999782
2443.2,22170.2,242.29999999999927
1548.9,32340.9,317.8999999999942
795.9,39289.6,369.8000000000029
381.7,55789.7,467.40000000000873
415.3,72812.1,604.2999999999884
4565.0,82718.0,1041.0
5572.8,103394.7,1239.199999999997
4070.0,115548.2,1267.699999999997
